neighbourhood,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month
"Capitol View, Marshall Heights, Benning Heights",Private room,2,1,1,38,25,1,100,t,moderate,1
"Takoma, Brightwood, Manor Park",Private room,2,1,1,71,17,4,90,t,flexible,0.33
"Colonial Village, Shepherd Park, North Portal Estates",Entire home/apt,1,1,1,55,0,1,100,f,strict,1
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Private room,2,1,1,60,26,2,90,t,flexible,0.43
"Woodridge, Fort Lincoln, Gateway",Private room,2,1,1,52,24,1,80,f,flexible,1
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Private room,1,1,1,23,3,1,100,t,flexible,1
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,1,1,1,149,0,46,100,f,strict,1.06
"Shaw, Logan Circle",Entire home/apt,4,1,2,150,16,84,99,f,moderate,2.91
"Shaw, Logan Circle",Entire home/apt,4,1,1,175,26,25,91,f,flexible,1.38
"Shaw, Logan Circle",Private room,4,1,2,65,6,2,100,f,flexible,1.15
"Shaw, Logan Circle",Private room,2,1,1,71,10,83,97,f,moderate,5.4
"Shaw, Logan Circle",Entire home/apt,2,1,1,80,9,19,89,t,moderate,7.4
"Shaw, Logan Circle",Private room,4,1,3,250,14,94,95,f,strict,1.15
"Shaw, Logan Circle",Private room,2,1,1,138,30,47,92,f,moderate,0.87
"Shaw, Logan Circle",Private room,2,1,1,94,6,150,98,f,moderate,2.7
"Shaw, Logan Circle",Private room,6,1,3,79,21,69,91,f,strict,1.69
"Shaw, Logan Circle",Entire home/apt,3,1,1,110,0,1,100,f,flexible,0.48
"Shaw, Logan Circle",Entire home/apt,3,1,2,125,9,11,93,t,flexible,3.55
"Shaw, Logan Circle",Private room,2,1,1,89,12,3,93,f,moderate,0.64
"Shaw, Logan Circle",Shared room,1,1,1,80,25,5,96,f,moderate,1.01
"Congress Heights, Bellevue, Washington Highlands",Private room,3,1,2,55,27,5,84,f,strict,2.73
"Congress Heights, Bellevue, Washington Highlands",Private room,2,1,1,40,0,9,84,f,flexible,0.53
"Congress Heights, Bellevue, Washington Highlands",Entire home/apt,2,1,1,200,30,1,100,f,flexible,0.11
"Douglas, Shipley Terrace",Private room,2,1,1,65,3,4,100,f,flexible,0.71
"Douglas, Shipley Terrace",Private room,4,1,1,94,26,18,98,f,flexible,0.99
"Douglas, Shipley Terrace",Private room,1,1,1,65,1,2,90,f,flexible,0.31
"Douglas, Shipley Terrace",Private room,5,1,1,64,1,115,94,t,flexible,6.1
"Douglas, Shipley Terrace",Private room,2,1,1,59,19,18,98,f,strict,9.31
"Douglas, Shipley Terrace",Private room,3,1,1,74,1,33,96,t,flexible,1.48
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Private room,3,1,1,69,22,8,98,t,strict,2.7
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Private room,1,1,1,49,21,1,100,f,strict,1
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Private room,2,1,1,69,13,19,98,t,strict,9.5
"Near Southeast, Navy Yard",Entire home/apt,4,1,2,157,10,3,100,f,moderate,1.73
